TAZ,AGG_TAZ,PUMA,DISTRICT,REGION,SCHOOLDISTRICT
7702,770,8,5,1,17
7703,770,8,5,1,17
7704,770,8,5,1,17
7711,771,8,5,1,18
7712,771,8,5,1,18
7721,772,16,6,1,19
7731,773,8,5,1,20
7801,780,16,6,1,21
7802,780,12,5,1,21
7803,780,999,999,1,21
7811,781,12,5,1,22
7821,782,12,5,1,23
7822,782,12,5,1,23
7823,782,12,5,1,23
7824,782,12,5,1,23
7825,782,999,999,1,23
7826,782,12,5,1,23
7827,782,999,999,1,0
7831,783,12,5,1,24
7841,784,12,5,1,25
7851,785,12,5,1,26
7911,791,999,999,1,0
7912,791,999,999,1,0
7913,791,999,999,1,0
7921,792,999,999,1,0
7922,792,999,999,1,0
7930,793,999,999,1,0
7931,793,999,999,1,0
7932,793,999,999,1,0
7933,793,999,999,1,0
7934,793,999,999,1,0
7935,793,999,999,1,0
7936,793,999,999,1,0
7937,793,999,999,1,0
7938,793,999,999,1,0
7939,793,999,999,1,0
7940,794,999,999,1,0
7941,794,999,999,1,0
7942,794,999,999,1,0
7943,794,999,999,1,0
7944,794,999,999,1,0
7945,794,999,999,1,0
7946,794,999,999,1,0
7947,794,999,999,1,0
7948,794,999,999,1,0
7949,794,999,999,1,0
7950,795,999,999,1,0
7951,795,999,999,1,0
7952,795,999,999,1,0
7953,795,999,999,1,0
7954,795,999,999,1,0
7955,795,999,999,1,0
7956,795,999,999,1,0
7957,795,999,999,1,0
7958,795,999,999,1,0
7961,796,999,999,1,0
7962,796,999,999,1,0
7963,796,999,999,1,0
7964,796,999,999,1,0
7965,796,999,999,1,0
7966,796,999,999,1,0
7967,796,999,999,1,0
7968,796,999,999,1,0
7969,796,999,999,1,0
8101,810,12,5,1,27
8111,811,12,5,1,28
8121,812,999,999,1,28
8131,813,999,999,1,0
8141,814,999,999,1,0
8142,814,999,999,1,0
8143,814,999,999,1,0
8144,814,999,999,1,0
8211,821,999,999,1,0
8212,821,999,999,1,0
8221,822,999,999,1,0
8222,822,999,999,1,0
8223,822,999,999,1,0
8224,822,999,999,1,0
8225,822,999,999,1,0
8230,823,999,999,1,0
8231,823,999,999,1,0
8232,823,999,999,1,0
8233,823,999,999,1,0
8234,823,999,999,1,0
8235,823,999,999,1,29
8236,823,999,999,1,0
8237,823,999,999,1,0
8240,824,999,999,1,0
8241,824,999,999,1,0
8242,824,999,999,1,0
8243,824,999,999,1,0
8244,824,999,999,1,0
8245,824,999,999,1,0
8246,824,999,999,1,0
8247,824,999,999,1,0
8248,824,999,999,1,0
8249,824,999,999,1,0
8250,825,999,999,1,0
8251,825,999,999,1,0
8252,825,999,999,1,0
8253,825,999,999,1,0
8254,825,999,999,1,0
8255,825,999,999,1,0
8256,825,999,999,1,0
8261,826,999,999,1,0
